MI0000630	mmu-mir-344;mmu-mir-344-1;
MI0000631	rno-mir-345;
MI0000632	mmu-mir-345;
MI0000633	rno-mir-346;
MI0000634	mmu-mir-346;
MI0000635	rno-mir-347;
MI0000636	rno-mir-349;
MI0000637	rno-mir-129;rno-mir-129-2;
MI0000638	rno-mir-20;rno-mir-20a;
MI0000639	rno-mir-350;rno-mir-350-1;
MI0000640	mmu-mir-350;
MI0000641	rno-mir-7;rno-mir-7-1;rno-mir-7a-1;
MI0000642	rno-mir-351;rno-mir-351-1;
MI0000643	mmu-mir-351;
MI0000644	rno-mir-352;
MI0000645	rno-mir-135b;
MI0000646	mmu-mir-135b;
MI0000647	rno-mir-151;
MI0000648	rno-mir-101b;
MI0000649	mmu-mir-101b;
MI0000650	hsa-mir-200c;
MI0000651	hsa-mir-1b;hsa-mir-1-1;
MI0000652	mmu-mir-1b;mmu-mir-1-2;mmu-mir-1a-2;
MI0000653	osa-MIR156a;
MI0000654	osa-MIR156b;
MI0000655	osa-MIR156c;
MI0000656	osa-MIR156d;
MI0000657	osa-MIR156e;
MI0000658	osa-MIR156f;
MI0000659	osa-MIR156g;
MI0000660	osa-MIR156h;
MI0000661	osa-MIR156i;
MI0000662	osa-MIR156j;
MI0000663	osa-MIR160a;
MI0000664	osa-MIR160b;
MI0000665	osa-MIR160c;
MI0000666	osa-MIR160d;
MI0000667	osa-MIR162;osa-MIR162a;
MI0000668	osa-MIR164a;
MI0000669	osa-MIR164b;
MI0000670	osa-MIR166a;
MI0000671	osa-MIR166b;
MI0000672	osa-MIR166c;
MI0000673	osa-MIR166d;
MI0000674	osa-MIR166e;
MI0000675	osa-MIR166f;
MI0000676	osa-MIR167a;
MI0000677	osa-MIR167b;
MI0000678	osa-MIR167c;
MI0000679	osa-MIR169;osa-MIR169a;
MI0000680	osa-MIR171;osa-MIR171a;
MI0000681	hsa-mir-155;
MI0000683	hsa-mir-181b-2;
MI0000684	mmu-mir-107;
MI0000685	mmu-mir-10a-1;mmu-mir-10a;
MI0000686	mmu-mir-10a-2;
MI0000687	mmu-mir-17;
MI0000688	mmu-mir-19a;
MI0000689	mmu-mir-25;
MI0000690	mmu-mir-28;mmu-mir-28a;
MI0000691	mmu-mir-32;
MI0000692	mmu-mir-100;
MI0000693	mmu-mir-139;
MI0000694	mmu-mir-200c;
MI0000695	mmu-mir-210;
MI0000696	mmu-mir-212;
MI0000697	mmu-mir-213;mmu-mir-181a-1;
MI0000698	mmu-mir-214;
MI0000699	mmu-mir-216;mmu-mir-216a;
MI0000700	mmu-mir-218-1;
MI0000701	mmu-mir-218-2;
MI0000702	mmu-mir-219-1;mmu-mir-219a-1;
MI0000703	mmu-mir-223;
MI0000704	mmu-mir-320;
MI0000705	mmu-mir-321;
MI0000706	mmu-mir-26a-2;
MI0000707	mmu-mir-33;
MI0000708	mmu-mir-211;
MI0000709	mmu-mir-221;
MI0000710	mmu-mir-222;
MI0000711	mmu-mir-224;
MI0000712	mmu-mir-29b-2;
MI0000713	mmu-mir-199a-2;
MI0000714	mmu-mir-199b;
MI0000715	mmu-mir-135-2;mmu-mir-135a-2;
MI0000716	mmu-mir-124a-1;mmu-mir-124-1;
MI0000717	mmu-mir-124a-2;mmu-mir-124-2;
MI0000718	mmu-mir-19b-1;
MI0000719	mmu-mir-92-1;mmu-mir-92a-1;
MI0000720	mmu-mir-9-1;
MI0000721	mmu-mir-9-3;
MI0000722	mmu-mir-138-1;
MI0000723	mmu-mir-181b;mmu-mir-181b-1;
MI0000724	mmu-mir-181c;
MI0000725	mmu-mir-125b-1;
MI0000726	mmu-mir-128b;mmu-mir-128-2;
MI0000727	hsa-mir-128b;hsa-mir-128-2;
MI0000728	mmu-mir-7-1;mmu-mir-7a-1;
MI0000729	mmu-mir-7-2;mmu-mir-7a-2;
MI0000730	mmu-mir-7b;
MI0000731	mmu-mir-217;
MI0000732	hsa-mir-194-2;
MI0000733	mmu-mir-194-2;
MI0000734	hsa-mir-106b;
MI0000735	hsa-mir-29c;
MI0000736	hsa-mir-30c-1;
MI0000737	hsa-mir-200a;
MI0000738	hsa-mir-302;hsa-mir-302a;
MI0000739	hsa-mir-101-2;
